response_id,containing_elements,continuation_of_prompt,considered_as_narrative,narrative_agent,type_of_narrator
wp004r018,no,no,no,NA,NA
wp004r019,no,no,no,NA,NA
wp004r020,no,no,no,NA,NA
wp005r001,no,no,no,NA,NA
wp005r002,yes,yes,yes,UNKNOWN,CN
wp005r003,yes,no,no,NA,NA
wp005r004,no,yes,no,NA,NA
wp005r005,yes,yes,yes,TUMBLR,EN
wp005r006,yes,yes,yes,TUMBLR,CN
wp005r007,yes,yes,no,NA,NA
wp005r008,yes,yes,no,NA,NA
wp005r009,yes,yes,no,NA,NA
wp005r010,no,yes,no,NA,NA
wp005r011,no,no,no,NA,NA
wp005r012,no,no,no,NA,NA
wp005r013,no,no,no,NA,NA
wp005r014,no,no,no,NA,NA
wp005r015,no,no,no,NA,NA
wp005r016,no,no,no,NA,NA
wp005r017,no,no,no,NA,NA
wp005r018,no,no,no,NA,NA
wp005r019,no,no,no,NA,NA
wp005r020,no,no,no,NA,NA
wp006r001,no,yes,no,NA,NA
wp006r002,yes,no,no,NA,NA
wp006r003,no,yes,no,NA,NA
wp006r004,no,no,no,NA,NA
wp006r005,no,no,no,NA,NA
wp006r006,no,no,no,NA,NA
wp006r007,yes,yes,yes,TUMBLR,EN
wp006r008,no,yes,no,NA,NA
wp006r009,no,no,no,NA,NA
wp006r010,no,yes,no,NA,NA
wp006r011,no,no,no,NA,NA
wp006r012,no,no,no,NA,NA
wp006r013,no,no,no,NA,NA
wp006r014,yes,no,no,NA,NA
wp006r015,no,no,no,NA,NA
wp006r016,no,no,no,NA,NA
wp006r017,yes,no,no,NA,NA
wp006r018,yes,no,no,NA,NA
wp006r019,no,no,no,NA,NA
wp006r020,no,no,no,NA,NA
wp007r001,yes,yes,no,NA,NA
wp007r002,yes,yes,no,NA,NA
wp007r003,yes,yes,no,NA,NA
wp007r004,yes,yes,yes,TUMBLR,UNKNOWN
wp007r005,yes,yes,no,NA,NA
wp007r006,yes,yes,no,NA,NA
wp007r007,yes,yes,no,NA,NA
wp007r008,yes,yes,no,NA,NA
wp007r009,yes,yes,no,NA,NA
wp007r010,yes,yes,no,NA,NA
wp007r011,yes,yes,no,NA,NA
wp007r012,yes,yes,no,NA,NA
wp007r013,yes,yes,no,NA,NA
wp007r014,yes,yes,no,NA,NA
wp007r015,yes,yes,no,NA,NA
wp007r016,no,no,no,NA,NA
wp007r017,yes,yes,no,NA,NA
wp007r018,yes,yes,yes,IN,EN
wp007r019,no,no,no,NA,NA
wp007r020,no,no,no,NA,NA
wp008r001,no,yes,yes,TUMBLR,UNKNOWN
wp008r002,yes,yes,yes,TUMBLR,CN
wp008r003,yes,yes,yes,TUMBLR,CN
wp008r004,no,yes,no,NA,NA
wp008r005,no,no,no,NA,NA
wp008r006,no,no,no,NA,NA
wp008r007,no,no,no,NA,NA
wp008r008,no,yes,yes,TUMBLR,EN
wp008r009,yes,yes,yes,TUMBLR,CN
wp008r010,no,no,no,NA,NA
wp008r011,no,no,no,NA,NA
wp008r012,no,no,no,NA,NA
wp008r013,no,no,no,NA,NA
wp008r014,no,no,no,NA,NA
wp008r015,no,no,no,NA,NA
wp008r016,no,no,no,NA,NA
wp008r017,no,no,no,NA,NA
wp008r018,no,yes,no,NA,NA
wp008r019,yes,yes,yes,TUMBLR,EN
wp008r020,no,no,no,NA,NA
wp009r001,yes,yes,yes,IN,CN
wp009r002,no,no,no,NA,NA
wp009r003,yes,yes,yes,TUMBLR,CN
wp009r004,yes,yes,yes,TUMBLR,CN
wp009r005,yes,yes,no,NA,NA
wp009r006,yes,yes,yes,TUMBLR,CN
wp009r007,yes,yes,yes,TUMBLR,CN
wp009r008,yes,yes,yes,TUMBLR,CN
wp009r009,yes,yes,yes,TUMBLR,CN
wp009r010,no,no,no,NA,NA
wp009r011,no,no,no,NA,NA
wp009r012,no,no,no,NA,NA
wp009r013,no,no,no,NA,NA
wp009r014,no,no,no,NA,NA
wp009r015,no,no,no,NA,NA
wp009r016,no,no,no,NA,NA
wp009r017,no,no,no,NA,NA
wp009r018,no,no,no,NA,NA
wp009r019,no,no,no,NA,NA
wp009r020,yes,yes,yes,TUMBLR,CN
wp010r001,no,no,no,NA,NA
wp010r002,no,no,no,NA,NA
wp010r003,no,no,no,NA,NA
wp010r004,no,no,no,NA,NA
wp010r005,no,no,no,NA,NA
wp010r006,no,no,no,NA,NA
wp010r007,no,no,no,NA,NA
wp010r008,no,no,no,NA,NA
wp010r009,no,no,no,NA,NA
wp010r010,no,no,no,NA,NA
wp010r011,no,no,no,NA,NA
wp010r012,no,no,no,NA,NA
wp010r013,no,no,no,NA,NA
wp010r014,no,no,no,NA,NA
wp010r015,no,no,no,NA,NA
wp010r016,no,no,no,NA,NA
wp010r017,yes,yes,yes,TUMBLR,CN
wp010r018,no,no,no,NA,NA
wp010r019,no,no,no,NA,NA
wp010r020,no,no,no,NA,NA
wp011r001,yes,no,no,NA,NA
wp011r002,no,no,no,NA,NA
wp011r003,yes,no,no,NA,NA
wp011r004,yes,no,no,NA,NA
wp011r005,yes,no,no,NA,NA
wp011r006,no,no,no,NA,NA
wp011r007,yes,no,no,NA,NA
wp011r008,no,no,no,NA,NA
wp011r009,no,no,no,NA,NA
wp011r010,yes,no,no,NA,NA
wp011r011,yes,no,no,NA,NA
wp011r012,no,yes,yes,TUMBLR,CN
wp011r013,no,no,no,NA,NA
wp011r014,no,no,no,NA,NA
wp011r015,no,yes,no,NA,NA
wp011r016,no,no,no,NA,NA
wp011r017,no,no,no,NA,NA
wp011r018,no,no,no,NA,NA
wp011r019,no,no,no,NA,NA
wp011r020,no,no,no,NA,NA
wp012r001,yes,yes,no,NA,NA
wp012r002,yes,yes,no,NA,NA
wp012r003,yes,yes,yes,TUMBLR,UNKNOWN
wp012r004,yes,yes,no,NA,NA
wp012r005,yes,yes,yes,TUMBLR,CN
wp012r006,yes,yes,no,NA,NA
wp012r007,yes,yes,no,NA,NA
wp012r008,yes,yes,no,NA,NA
wp012r009,yes,yes,yes,TUMBLR,CN
wp012r010,yes,yes,no,NA,NA
wp012r011,no,no,no,NA,NA
wp012r012,yes,yes,yes,IN,UNKNOWN
wp012r013,yes,yes,yes,UNKNOWN,UNKNOWN
wp012r014,yes,yes,no,NA,NA
wp012r015,no,no,no,NA,NA
wp012r016,no,no,no,NA,NA
wp012r017,yes,yes,no,NA,NA
wp012r018,yes,yes,no,NA,NA
wp012r019,yes,no,no,NA,NA
wp012r020,no,no,no,NA,NA
wp013r001,yes,yes,yes,UNKNOWN,UNKNOWN
wp013r002,no,no,no,NA,NA
wp013r003,yes,yes,yes,UNKNOWN,EN
wp013r004,no,no,no,NA,NA
wp013r005,yes,yes,no,NA,NA
wp013r006,no,no,no,NA,NA
wp013r007,yes,yes,yes,UNKNOWN,CN
wp013r008,yes,yes,no,NA,NA
wp013r009,no,no,no,NA,NA
wp013r010,yes,yes,yes,UNKNOWN,CN
wp013r011,yes,yes,no,NA,NA
wp013r012,no,no,no,NA,NA
wp013r013,no,no,no,NA,NA
wp013r014,yes,yes,yes,UNKNOWN,EN
wp013r015,no,no,no,NA,NA
wp013r016,yes,yes,no,NA,NA
wp013r017,yes,yes,yes,IN,CN
wp013r018,no,no,no,NA,NA
wp013r019,yes,yes,yes,IN,CN
wp013r020,no,no,no,NA,NA
wp014r001,no,yes,yes,UNKNOWN,UNKNOWN
wp014r002,no,yes,no,NA,NA
wp014r003,yes,yes,yes,UNKNOWN,UNKNOWN
wp014r004,no,yes,no,NA,NA
wp014r005,no,yes,yes,UNKNOWN,UNKNOWN
wp014r006,yes,yes,yes,IN,EN
wp014r007,no,yes,yes,UNKNOWN,UNKNOWN
wp014r008,no,no,no,NA,NA
wp014r009,no,no,no,NA,NA
wp014r010,no,yes,yes,UNKNOWN,EN
wp014r011,no,no,no,NA,NA
wp014r012,no,no,no,NA,NA
wp014r013,no,no,no,NA,NA
wp014r014,no,no,no,NA,NA
wp014r015,no,no,no,NA,NA
wp014r016,no,no,no,NA,NA
wp014r017,no,no,no,NA,NA
wp014r018,yes,yes,yes,IN,CN
wp014r019,no,no,no,NA,NA
wp014r020,no,no,no,NA,NA
wp015r001,yes,yes,yes,TUMBLR,CN
wp015r002,no,no,no,NA,NA
wp015r003,yes,yes,no,NA,NA
wp015r004,no,yes,no,NA,NA
wp015r005,yes,yes,no,NA,NA
wp015r006,yes,yes,yes,TUMBLR,EN
wp015r007,no,no,no,NA,NA
wp015r008,yes,yes,no,NA,NA
wp015r009,no,no,no,NA,NA
wp015r010,no,yes,no,NA,NA
wp015r011,no,no,no,NA,NA
wp015r012,no,no,no,NA,NA
wp015r013,yes,yes,yes,TUMBLR,EN
wp015r014,yes,yes,yes,IN,CN
wp015r015,no,no,no,NA,NA
wp015r016,no,no,no,NA,NA
wp015r017,no,no,no,NA,NA
wp015r018,no,no,no,NA,NA
wp015r019,no,no,no,NA,NA
wp015r020,no,no,no,NA,NA
wp016r001,yes,yes,no,NA,NA
wp016r002,yes,yes,no,NA,NA
wp016r003,yes,yes,no,NA,NA
wp016r004,yes,yes,no,NA,NA
wp016r005,yes,yes,yes,TUMBLR,EN
wp016r006,yes,yes,no,NA,NA
wp016r007,yes,yes,no,NA,NA
wp016r008,yes,yes,yes,UNKNOWN,UNKNOWN
wp016r009,yes,yes,yes,TUMBLR,UNKNOWN
wp016r010,yes,yes,no,NA,NA
wp016r011,no,no,no,NA,NA
wp016r012,no,no,no,NA,NA
wp016r013,yes,yes,no,NA,NA
wp016r014,yes,yes,yes,IN,UNKNOWN
wp016r015,no,no,no,NA,NA
wp016r016,yes,yes,yes,IN,CN
wp016r017,yes,yes,no,NA,NA
wp016r018,no,no,no,NA,NA
wp016r019,no,no,no,NA,NA
wp016r020,yes,yes,yes,IN,CN
wp017r001,no,yes,no,NA,NA
wp017r002,no,yes,no,NA,NA
wp017r003,no,yes,no,NA,NA
wp017r004,no,yes,yes,UNKNOWN,UNKNOWN
wp017r005,no,yes,no,NA,NA
wp017r006,yes,yes,yes,IN,CN
wp017r007,no,yes,no,NA,NA
wp017r008,yes,yes,yes,UNKNOWN,UNKNOWN
wp017r009,yes,yes,no,NA,NA
wp017r010,no,yes,no,NA,NA
wp017r011,no,yes,no,NA,NA
wp017r012,no,no,no,NA,NA
wp017r013,no,yes,no,NA,NA
wp017r014,no,yes,no,NA,NA
wp017r015,no,yes,no,NA,NA
wp017r016,no,yes,no,NA,NA
wp017r017,yes,yes,yes,IN,EN
wp017r018,no,yes,no,NA,NA
wp017r019,no,yes,no,NA,NA
wp017r020,yes,yes,yes,IN,EN
wp018r001,yes,yes,no,NA,NA
wp018r002,no,yes,no,NA,NA
wp018r003,yes,yes,no,NA,NA
wp018r004,yes,yes,no,NA,NA
wp018r005,yes,yes,yes,TUMBLR,CN
wp018r006,no,yes,no,NA,NA
wp018r007,no,yes,no,NA,NA
wp018r008,yes,yes,yes,TUMBLR,UNKNOWN
wp018r009,yes,yes,yes,IN,UNKNOWN
wp018r010,no,no,no,NA,NA
wp018r011,no,no,no,NA,NA
wp018r012,yes,no,no,NA,NA
wp018r013,no,yes,no,NA,NA
wp018r014,no,no,no,NA,NA
wp018r015,no,yes,no,NA,NA
wp018r016,no,no,no,NA,NA
wp018r017,no,no,no,NA,NA
wp018r018,no,yes,no,NA,NA
wp018r019,no,no,no,NA,NA
wp018r020,no,yes,no,NA,NA
wp019r001,no,yes,no,NA,NA
wp019r002,no,no,no,NA,NA
wp019r003,no,no,no,NA,NA
wp019r004,no,no,no,NA,NA
wp019r005,no,yes,yes,UNKNOWN,UNKNOWN
wp019r006,no,yes,no,NA,NA
wp019r007,yes,yes,yes,UNKNOWN,UNKNOWN
wp019r008,yes,yes,no,NA,NA
wp019r009,yes,yes,no,NA,NA
wp019r010,yes,yes,no,NA,NA
wp019r011,yes,yes,no,NA,NA
wp019r012,no,yes,no,NA,NA
wp019r013,yes,yes,yes,IN,EN
wp019r014,no,no,no,NA,NA
wp019r015,no,no,no,NA,NA
wp019r016,yes,yes,yes,TUMBLR,CN
wp019r017,yes,yes,no,NA,NA
wp019r018,no,yes,no,NA,NA
wp019r019,yes,yes,no,NA,NA
wp019r020,no,no,no,NA,NA
wp020r001,yes,yes,yes,IN,UNKNOWN
wp020r002,yes,yes,no,NA,NA
wp020r003,no,no,no,NA,NA
wp020r004,no,yes,no,NA,NA
wp020r005,yes,yes,yes,UNKNOWN,UNKNOWN
wp020r006,yes,yes,yes,IN,UNKNOWN
wp020r007,no,no,no,NA,NA
wp020r008,no,no,no,NA,NA
wp020r009,yes,yes,no,NA,NA
wp020r010,yes,yes,yes,IN,UNKNOWN
wp020r011,no,no,no,NA,NA
wp020r012,yes,no,no,NA,NA
wp020r013,yes,yes,yes,IN,EN
wp020r014,yes,yes,yes,IN,EN
wp020r015,no,yes,no,NA,NA
wp020r016,no,yes,no,NA,NA
wp020r017,no,yes,no,NA,NA
wp020r018,yes,yes,yes,IN,CN
wp020r019,no,no,no,NA,NA
wp020r020,yes,yes,yes,IN,CN
wp021r001,no,no,no,NA,NA
wp021r002,yes,yes,no,NA,NA
wp021r003,yes,yes,yes,TUMBLR,UNKNOWN
wp021r004,yes,yes,yes,IN,CN
wp021r005,no,no,no,NA,NA
wp021r006,no,yes,no,NA,NA
wp021r007,no,yes,no,NA,NA
wp021r008,yes,yes,yes,TUMBLR,UNKNOWN
wp021r009,yes,yes,no,NA,NA
wp021r010,yes,yes,yes,IN,CN
wp021r011,no,no,no,NA,NA
wp021r012,no,no,no,NA,NA
wp021r013,yes,no,no,NA,NA
wp021r014,yes,no,no,NA,NA
wp021r015,no,no,no,NA,NA
wp021r016,no,yes,no,NA,NA
wp021r017,no,no,no,NA,NA
wp021r018,no,no,no,NA,NA
wp021r019,yes,yes,yes,IN,UNKNOWN
wp021r020,yes,yes,yes,IN,CN
wp022r001,no,yes,no,NA,NA
wp022r002,no,no,no,NA,NA
wp022r003,no,yes,no,NA,NA
wp022r004,no,yes,no,NA,NA
wp022r005,no,yes,no,NA,NA
wp022r006,yes,yes,yes,TUMBLR,CN
wp022r007,yes,yes,no,NA,NA
wp022r008,yes,yes,no,NA,NA
wp022r009,no,yes,no,NA,NA
wp022r010,no,yes,no,NA,NA
wp022r011,no,no,no,NA,NA
wp022r012,no,no,no,NA,NA
wp022r013,no,yes,no,NA,NA
wp022r014,no,no,no,NA,NA
wp022r015,no,no,no,NA,NA
wp022r016,no,no,no,NA,NA
wp022r017,no,yes,no,NA,NA
wp022r018,no,yes,no,NA,NA
wp022r019,no,no,no,NA,NA
wp022r020,no,no,no,NA,NA
wp023r001,yes,yes,no,NA,NA
wp023r002,yes,yes,yes,TUMBLR,EN
wp023r003,no,no,no,NA,NA
wp023r004,no,yes,yes,IN,UNKNOWN
wp023r005,yes,yes,yes,TUMBLR,UNKNOWN
wp023r006,no,no,no,NA,NA
wp023r007,no,yes,no,NA,NA
wp023r008,yes,yes,no,NA,NA
wp023r009,no,no,no,NA,NA
wp023r010,no,no,no,NA,NA
wp023r011,no,no,no,NA,NA
wp023r012,no,no,no,NA,NA
wp023r013,no,no,no,NA,NA
wp023r014,no,no,no,NA,NA
wp023r015,no,no,no,NA,NA
wp023r016,yes,yes,yes,IN,UNKNOWN
wp023r017,no,no,no,NA,NA
wp023r018,yes,no,no,NA,NA
wp023r019,no,no,no,NA,NA
wp023r020,no,no,no,NA,NA
wp024r001,yes,yes,no,NA,NA
wp024r002,yes,yes,no,NA,NA
wp024r003,yes,yes,no,NA,NA
wp024r004,yes,yes,no,NA,NA
wp024r005,yes,yes,no,NA,NA
wp024r006,yes,yes,no,NA,NA
wp024r007,yes,yes,no,NA,NA
wp024r008,yes,yes,no,NA,NA
wp024r009,yes,yes,no,NA,NA
wp024r010,yes,yes,no,NA,NA
wp024r011,yes,yes,no,NA,NA
wp024r012,yes,yes,no,NA,NA
wp024r013,yes,yes,no,NA,NA
wp024r014,yes,yes,no,NA,NA
wp024r015,yes,yes,yes,IN,EN
wp024r016,no,no,no,NA,NA
wp024r017,yes,yes,no,NA,NA
wp024r018,yes,yes,no,NA,NA
wp024r019,no,no,no,NA,NA
wp024r020,yes,yes,no,NA,NA
wp025r001,no,yes,no,NA,NA
wp025r002,yes,yes,no,NA,NA
wp025r003,yes,yes,no,NA,NA
wp025r004,yes,yes,no,NA,NA
wp025r005,yes,yes,yes,IN,UNKNOWN
wp025r006,no,yes,no,NA,NA
wp025r007,no,yes,no,NA,NA
wp025r008,no,no,no,NA,NA
wp025r009,yes,yes,yes,TUMBLR,EN
wp025r010,yes,yes,yes,IN,EN
wp025r011,no,yes,no,NA,NA
wp025r012,no,no,no,NA,NA
wp025r013,no,no,no,NA,NA
wp025r014,no,yes,no,NA,NA
wp025r015,no,no,no,NA,NA
wp025r016,no,no,no,NA,NA
wp025r017,no,no,no,NA,NA
wp025r018,no,no,no,NA,NA
wp025r019,no,no,no,NA,NA
wp025r020,yes,yes,yes,IN,EN
wp026r001,yes,yes,no,NA,NA
wp026r002,no,no,no,NA,NA
wp026r003,no,no,no,NA,NA
wp026r004,no,no,no,NA,NA
wp026r005,yes,no,no,NA,NA
wp026r006,no,yes,no,NA,NA
wp026r007,no,yes,no,NA,NA
wp026r008,no,yes,no,NA,NA
wp026r009,no,yes,yes,IN,CN
wp026r010,no,yes,no,NA,NA
wp026r011,no,no,no,NA,NA
wp026r012,no,yes,no,NA,NA
wp026r013,no,no,no,NA,NA
wp026r014,no,no,no,NA,NA
wp026r015,no,no,no,NA,NA
wp026r016,no,no,no,NA,NA
wp026r017,no,no,no,NA,NA
wp026r018,no,no,no,NA,NA
wp026r019,no,no,no,NA,NA
wp026r020,yes,no,no,NA,NA
wp027r001,no,no,no,NA,NA
wp027r002,no,no,no,NA,NA
wp027r003,no,no,no,NA,NA
wp027r004,no,yes,no,NA,NA
wp027r005,no,yes,no,NA,NA
wp027r006,no,no,no,NA,NA
wp027r007,no,yes,no,NA,NA
wp027r008,no,yes,no,NA,NA
wp027r009,no,no,no,NA,NA
wp027r010,no,no,no,NA,NA
wp027r011,no,no,no,NA,NA
wp027r012,no,no,no,NA,NA
wp027r013,no,no,no,NA,NA
wp027r014,no,no,no,NA,NA
wp027r015,no,yes,no,NA,NA
wp027r016,no,no,no,NA,NA
wp027r017,yes,yes,yes,IN,CN
wp027r018,no,no,no,NA,NA
wp027r019,yes,yes,yes,IN,CN
wp027r020,no,no,no,NA,NA
wp028r001,no,yes,no,NA,NA
wp028r002,no,no,no,NA,NA
wp028r003,no,no,no,NA,NA
wp028r004,no,yes,no,NA,NA
wp028r005,no,yes,no,NA,NA
wp028r006,no,no,no,NA,NA
wp028r007,no,yes,no,NA,NA
wp028r008,yes,yes,yes,TUMBLR,CN
wp028r009,no,no,no,NA,NA
wp028r010,yes,yes,yes,IN,EN
wp028r011,no,yes,no,NA,NA
wp028r012,no,yes,no,NA,NA
wp028r013,yes,no,no,NA,NA
wp028r014,no,no,no,NA,NA
wp028r015,yes,yes,yes,TUMBLR,CN
wp028r016,no,no,no,NA,NA
wp028r017,yes,yes,yes,IN,CN
wp028r018,yes,yes,no,NA,NA
wp028r019,no,no,no,NA,NA
wp028r020,no,no,no,NA,NA
wp029r001,yes,yes,no,NA,NA
wp029r002,yes,yes,yes,IN,CN
wp029r003,no,yes,no,NA,NA
wp029r004,no,yes,no,NA,NA
wp029r005,yes,yes,no,NA,NA
wp029r006,yes,yes,yes,IN,UNKNOWN
wp029r007,yes,yes,yes,IN,CN
wp029r008,yes,yes,no,NA,NA
wp029r009,yes,yes,yes,IN,UNKNOWN
wp029r010,yes,yes,yes,UNKNOWN,EN
wp029r011,no,no,no,NA,NA
wp029r012,no,no,no,NA,NA
wp029r013,no,no,no,NA,NA
wp029r014,no,no,no,NA,NA
wp029r015,no,yes,no,NA,NA
wp029r016,no,yes,no,NA,NA
wp029r017,no,no,no,NA,NA
wp029r018,no,no,no,NA,NA
wp029r019,no,yes,no,NA,NA
wp029r020,no,no,no,NA,NA
wp031r001,no,yes,no,NA,NA
wp031r002,no,yes,no,NA,NA
wp031r003,no,no,no,NA,NA
wp031r004,yes,yes,yes,IN,EN
wp031r005,no,no,no,NA,NA
wp031r006,no,yes,no,NA,NA
wp031r007,no,yes,no,NA,NA
wp031r008,yes,yes,no,NA,NA
wp031r009,yes,yes,yes,IN,EN
wp031r010,no,no,no,NA,NA
wp031r011,no,no,no,NA,NA
wp031r012,yes,no,no,NA,NA
wp031r013,no,no,no,NA,NA
wp031r014,no,no,no,NA,NA
wp031r015,yes,no,no,NA,NA
wp031r016,no,no,no,NA,NA
wp031r017,no,no,no,NA,NA
wp031r018,yes,yes,no,NA,NA
wp031r019,yes,yes,no,NA,NA
wp031r020,yes,yes,yes,UNKNOWN,EN
wp032r001,yes,yes,yes,IN,UNKNOWN
wp032r002,yes,yes,yes,TUMBLR,UNKNOWN
wp032r003,yes,yes,no,NA,NA
wp032r004,yes,yes,yes,TUMBLR,UNKNOWN
wp032r005,no,yes,no,NA,NA
wp032r006,yes,yes,yes,TUMBLR,UNKNOWN
wp032r007,yes,yes,yes,IN,CN
wp032r008,yes,yes,yes,UNKNOWN,UNKNOWN
wp032r009,yes,yes,yes,IN,CN
wp032r010,yes,yes,yes,UNKNOWN,UNKNOWN
wp032r011,yes,yes,yes,IN,CN
wp032r012,no,no,no,NA,NA
wp032r013,yes,yes,no,NA,NA
wp032r014,yes,yes,yes,IN,CN
wp032r015,yes,yes,no,NA,NA
wp032r016,no,no,no,NA,NA
wp032r017,no,yes,no,NA,NA
wp032r018,no,no,no,NA,NA
wp032r019,yes,yes,yes,UNKNOWN,UNKNOWN
wp032r020,yes,yes,yes,TUMBLR,EN
wp033r001,yes,yes,yes,IN,EN
wp033r002,no,yes,no,NA,NA
wp033r003,no,yes,no,NA,NA
wp033r004,no,yes,no,NA,NA
wp033r005,yes,yes,yes,IN,EN
wp033r006,no,yes,no,NA,NA
wp033r007,no,yes,no,NA,NA
wp033r008,no,yes,no,NA,NA
wp033r009,no,yes,no,NA,NA
wp033r010,no,no,no,NA,NA
wp033r011,no,no,no,NA,NA
wp033r012,no,no,no,NA,NA
wp033r013,no,yes,no,NA,NA
wp033r014,no,no,no,NA,NA
wp033r015,no,yes,no,NA,NA
wp033r016,no,no,no,NA,NA
wp033r017,no,no,no,NA,NA
wp033r018,no,no,no,NA,NA
wp033r019,yes,no,no,NA,NA
wp033r020,no,no,no,NA,NA
wp034r001,no,yes,yes,UNKNOWN,EN
wp034r002,yes,yes,no,NA,NA
wp034r003,yes,yes,no,NA,NA
wp034r004,yes,yes,yes,IN,CN
wp034r005,yes,yes,yes,UNKNOWN,CN
wp034r006,no,yes,no,NA,NA
wp034r007,no,yes,no,NA,NA
wp034r008,yes,yes,yes,IN,CN
wp034r009,no,yes,no,NA,NA
wp034r010,yes,yes,no,NA,NA
wp034r011,no,no,no,NA,NA
wp034r012,no,yes,no,NA,NA
wp034r013,no,yes,no,NA,NA
wp034r014,no,no,no,NA,NA
wp034r015,no,no,no,NA,NA
wp034r016,no,no,no,NA,NA
wp034r017,no,no,no,NA,NA
wp034r018,yes,yes,no,NA,NA
wp034r019,no,yes,no,NA,NA
wp034r020,yes,yes,no,NA,NA
wp036r001,no,yes,no,NA,NA
wp036r002,no,yes,no,NA,NA
wp036r003,no,yes,no,NA,NA
wp036r004,no,yes,no,NA,NA
wp036r005,no,yes,no,NA,NA
wp036r006,no,yes,no,NA,NA
wp036r007,no,yes,no,NA,NA
wp036r008,no,yes,no,NA,NA
wp036r009,no,yes,no,NA,NA
wp036r010,no,yes,no,NA,NA
wp036r011,no,yes,no,NA,NA
wp036r012,no,no,no,NA,NA
wp036r013,no,yes,no,NA,NA
wp036r014,no,no,no,NA,NA
wp036r015,no,yes,no,NA,NA
wp036r016,no,yes,no,NA,NA
wp036r017,no,yes,no,NA,NA
wp036r018,no,yes,no,NA,NA
wp036r019,no,yes,no,NA,NA
wp036r020,no,no,no,NA,NA
wp037r001,no,yes,no,NA,NA
wp037r002,no,yes,no,NA,NA
wp037r003,yes,yes,yes,IN,UNKNOWN
wp037r004,yes,yes,yes,UNKNOWN,UNKNOWN
wp037r005,yes,yes,yes,IN,UNKNOWN
wp037r006,no,yes,no,NA,NA
wp037r007,no,yes,no,NA,NA
wp037r008,no,yes,no,NA,NA
wp037r009,no,yes,no,NA,NA
wp037r010,yes,yes,no,NA,NA
wp037r011,no,no,no,NA,NA
wp037r012,no,no,no,NA,NA
wp037r013,yes,no,no,NA,NA
wp037r014,no,no,no,NA,NA
